hierid,sign_match,diff_magnitude,Category
TUV.R06fb643237e8113e,True,0.0,Best (Match + Low Diff)
FJI.R13886963f95ae1bc,True,0.0,Best (Match + Low Diff)
CHN.5.36.228,True,3.4854262525937636e-05,Best (Match + Low Diff)
ZAF.3.Ra88f13deafc00a10,True,6.84860739406388e-05,Best (Match + Low Diff)
CAN.9.124.2437,True,8.81059778535332e-05,Best (Match + Low Diff)
AUS.10.1048,True,0.00012664081868292708,Best (Match + Low Diff)
CAN.1.15.352,True,0.00016697383069451958,Best (Match + Low Diff)
COL.27.884,True,0.00020117752702895398,Best (Match + Low Diff)
CRI.2.21,True,0.0002545640377747577,Best (Match + Low Diff)
GRL.2.16,True,0.00030787471774465643,Best (Match + Low Diff)
TZA.8.36,True,1.2740072315336113,Worst (Mismatch or High Diff)
ETH.2.10.45,True,1.202744473603355,Worst (Mismatch or High Diff)
ETH.2.12,True,1.2007765448306589,Worst (Mismatch or High Diff)
ETH.2.10.R2ea9fc73b058b649,True,1.1920717905176654,Worst (Mismatch or High Diff)
ETH.9.46.404,True,1.1825896548110717,Worst (Mismatch or High Diff)
ETH.2.10.47,True,1.158777884466346,Worst (Mismatch or High Diff)
ETH.8.35.271,True,1.1483784344296588,Worst (Mismatch or High Diff)
ETH.2.8.31,True,1.1447827093519602,Worst (Mismatch or High Diff)
MWI.8,True,1.1225765746046283,Worst (Mismatch or High Diff)
ETH.9.46.R95c40417351bb4d1,True,1.1065730573129118,Worst (Mismatch or High Diff)
