hierid,sign_match,diff_magnitude,Category
USA.50.3111,True,0.0,Best (Match + Low Diff)
USA.51.3123,True,0.0,Best (Match + Low Diff)
USA.50.3055,True,0.0,Best (Match + Low Diff)
USA.50.3114,True,0.0,Best (Match + Low Diff)
USA.50.3069,True,0.0,Best (Match + Low Diff)
USA.48.2981,True,0.0,Best (Match + Low Diff)
USA.50.3064,True,0.0,Best (Match + Low Diff)
USA.51.3131,True,0.0,Best (Match + Low Diff)
USA.51.3141,True,0.0,Best (Match + Low Diff)
USA.50.3050,True,0.0,Best (Match + Low Diff)
PER.21.162.Rabb9c8c56d8820ee,True,1.9449922241790718,Worst (Mismatch or High Diff)
PER.21.162.1595,True,1.9259978031521094,Worst (Mismatch or High Diff)
PER.21.172.1673,True,1.7982630039748182,Worst (Mismatch or High Diff)
IND.23.355.1500,True,1.7651919975473214,Worst (Mismatch or High Diff)
IND.23.350.1495,True,1.7475944743940715,Worst (Mismatch or High Diff)
IND.23.351.1496,True,1.7308533689330097,Worst (Mismatch or High Diff)
PNG.19.86,True,1.7117803405850385,Worst (Mismatch or High Diff)
IDN.23.303,True,1.6901015898927576,Worst (Mismatch or High Diff)
PER.21.172.1677,True,1.6699348393872748,Worst (Mismatch or High Diff)
PER.8.79.770,True,1.6517973256988108,Worst (Mismatch or High Diff)
