hierid,sign_match,diff_magnitude,Category
USA.48.2977,True,0.0,Best (Match + Low Diff)
USA.50.3064,True,0.0,Best (Match + Low Diff)
USA.51.3143,True,0.0,Best (Match + Low Diff)
USA.48.2981,True,0.0,Best (Match + Low Diff)
USA.6.302,True,0.0,Best (Match + Low Diff)
FJI.R13886963f95ae1bc,True,0.0,Best (Match + Low Diff)
USA.50.3060,True,0.0,Best (Match + Low Diff)
USA.51.3140,True,0.0,Best (Match + Low Diff)
USA.50.3050,True,0.0,Best (Match + Low Diff)
USA.50.3114,True,0.0,Best (Match + Low Diff)
PER.21.162.Rabb9c8c56d8820ee,True,1.8247192044500484,Worst (Mismatch or High Diff)
PER.21.162.1595,True,1.8068920111169886,Worst (Mismatch or High Diff)
IND.23.355.1500,True,1.7423286974632615,Worst (Mismatch or High Diff)
IND.23.350.1495,True,1.7250406059657566,Worst (Mismatch or High Diff)
IND.23.351.1496,True,1.708477841980173,Worst (Mismatch or High Diff)
PER.21.172.1673,True,1.6870559003144994,Worst (Mismatch or High Diff)
IDN.23.303,True,1.67341074023444,Worst (Mismatch or High Diff)
PNG.19.86,True,1.643135538490129,Worst (Mismatch or High Diff)
IND.23.352.1497,True,1.568190184453953,Worst (Mismatch or High Diff)
PER.21.172.1677,True,1.5666638755810038,Worst (Mismatch or High Diff)
