hierid,sign_match,diff_magnitude,Category
BLM,True,0.0,Best (Match + Low Diff)
TUV.R06fb643237e8113e,True,0.0,Best (Match + Low Diff)
PCN,True,0.0,Best (Match + Low Diff)
MHL,True,0.0,Best (Match + Low Diff)
AIA,True,0.0,Best (Match + Low Diff)
GIB,True,0.0,Best (Match + Low Diff)
VAT,True,0.0,Best (Match + Low Diff)
TKL.R509f9c8f36fd8571,True,0.0,Best (Match + Low Diff)
CCK,True,0.0,Best (Match + Low Diff)
NRU.R48a30b843dc4b8e2,True,0.0,Best (Match + Low Diff)
KWT.4,True,0.15390062373984126,Worst (Mismatch or High Diff)
KWT.2,True,0.1536600843850997,Worst (Mismatch or High Diff)
KWT.5,True,0.15248572894956114,Worst (Mismatch or High Diff)
KWT.1,True,0.15182805203678074,Worst (Mismatch or High Diff)
KWT.3,True,0.15137666602771205,Worst (Mismatch or High Diff)
SAU.6,True,0.14604500036215917,Worst (Mismatch or High Diff)
LBY.20,True,0.14399094679839175,Worst (Mismatch or High Diff)
DZA.41.1258,True,0.14375607690835146,Worst (Mismatch or High Diff)
DZA.1.16,True,0.14344536067513314,Worst (Mismatch or High Diff)
SAU.7,True,0.14289419239990497,Worst (Mismatch or High Diff)
