hierid,sign_match,diff_magnitude,Category
AIA,True,0.0,Best (Match + Low Diff)
CXR,True,0.0,Best (Match + Low Diff)
VAT,True,0.0,Best (Match + Low Diff)
BMU.R676c07148ce9acd1,True,0.0,Best (Match + Low Diff)
CCK,True,0.0,Best (Match + Low Diff)
MHL,True,0.0,Best (Match + Low Diff)
MAF,True,0.0,Best (Match + Low Diff)
BLM,True,0.0,Best (Match + Low Diff)
PCN,True,0.0,Best (Match + Low Diff)
TUV.R06fb643237e8113e,True,0.0,Best (Match + Low Diff)
DZA.1.16,True,0.7625934984544032,Worst (Mismatch or High Diff)
DZA.41.1260,True,0.7611448599010961,Worst (Mismatch or High Diff)
DZA.41.1258,True,0.7591462028291158,Worst (Mismatch or High Diff)
DZA.1.1,True,0.75840669346828,Worst (Mismatch or High Diff)
DZA.41.1261,True,0.7546042004487938,Worst (Mismatch or High Diff)
DZA.41.1255,True,0.7539265384767162,Worst (Mismatch or High Diff)
DZA.1.R0407246e18910365,True,0.7504822251769463,Worst (Mismatch or High Diff)
DZA.41.1256,True,0.7482719127757385,Worst (Mismatch or High Diff)
DZA.44.1336,True,0.7397162870463931,Worst (Mismatch or High Diff)
DZA.22.637,True,0.736886300374126,Worst (Mismatch or High Diff)
