hierid,sign_match,diff_magnitude,Category
AIA,True,0.0,Best (Match + Low Diff)
BMU.R676c07148ce9acd1,True,0.0,Best (Match + Low Diff)
CCK,True,0.0,Best (Match + Low Diff)
MDV,True,0.0,Best (Match + Low Diff)
GIB,True,0.0,Best (Match + Low Diff)
MHL,True,0.0,Best (Match + Low Diff)
MAF,True,0.0,Best (Match + Low Diff)
NRU.R48a30b843dc4b8e2,True,0.0,Best (Match + Low Diff)
CXR,True,0.0,Best (Match + Low Diff)
MCO,True,0.0,Best (Match + Low Diff)
DZA.1.16,True,0.351117981137552,Worst (Mismatch or High Diff)
DZA.41.1258,True,0.34896597103253,Worst (Mismatch or High Diff)
DZA.1.1,True,0.34515841424225047,Worst (Mismatch or High Diff)
DZA.41.1260,True,0.3428492678839824,Worst (Mismatch or High Diff)
DZA.41.1255,True,0.3413408861378211,Worst (Mismatch or High Diff)
DZA.41.1261,True,0.34106857429324544,Worst (Mismatch or High Diff)
DZA.1.R0407246e18910365,True,0.33680908160118317,Worst (Mismatch or High Diff)
DZA.41.1256,True,0.3358360672556041,Worst (Mismatch or High Diff)
DZA.22.637,True,0.32816111863020003,Worst (Mismatch or High Diff)
DZA.41.1263,True,0.3256487734747332,Worst (Mismatch or High Diff)
